ORF	KEGGID	Pathway
YJL121C	1110	Biosynthesis of secondary metabolites
tA(AGC)J	970	Aminoacyl-tRNA biosynthesis
tD(GUC)J1	970	Aminoacyl-tRNA biosynthesis
YJL109C	3008	Ribosome biogenesis in eukaryotes
YJL106W	4113	Meiosis - yeast
tR(ACG)J	970	Aminoacyl-tRNA biosynthesis
YJL101C	480	Glutathione metabolism
YJL101C	1100	Metabolic pathways
YJL097W	1040	Biosynthesis of unsaturated fatty acids
YJL095W	4011	MAPK signaling pathway - yeast
YJL092W	3420	Nucleotide excision repair
YJL092W	3430	Mismatch repair
YJL091C	563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
YJL091C	1100	Metabolic pathways
YJL088W	330	Arginine and proline metabolism
YJL088W	1100	Metabolic pathways
YJL088W	1110	Biosynthesis of secondary metabolites
YJL076W	4111	Cell cycle - yeast
YJL074C	4111	Cell cycle - yeast
YJL074C	4113	Meiosis - yeast
YJL073W	4141	Protein processing in endoplasmic reticulum
YJL071W	330	Arginine and proline metabolism
YJL071W	1100	Metabolic pathways
YJL071W	1110	Biosynthesis of secondary metabolites
YJL069C	3008	Ribosome biogenesis in eukaryotes
YJL068C	680	Methane metabolism
YJL060W	380	Tryptophan metabolism
YJL060W	1100	Metabolic pathways
YJL052W	10	Glycolysis / Gluconeogenesis
YJL052W	1100	Metabolic pathways
YJL052W	1110	Biosynthesis of secondary metabolites
YJL050W	3018	RNA degradation
YJL046W	785	Lipoic acid metabolism
YJL046W	1100	Metabolic pathways
tY(GUA)J1	970	Aminoacyl-tRNA biosynthesis
tR(UCU)J1	970	Aminoacyl-tRNA biosynthesis
tD(GUC)J2	970	Aminoacyl-tRNA biosynthesis
YJL045W	20	Citrate cycle (TCA cycle)
YJL045W	190	Oxidative phosphorylation
YJL045W	1100	Metabolic pathways
YJL045W	1110	Biosynthesis of secondary metabolites
YJL039C	3013	RNA transport
tD(GUC)J3	970	Aminoacyl-tRNA biosynthesis
tR(UCU)J2	970	Aminoacyl-tRNA biosynthesis
tV(AAC)J	970	Aminoacyl-tRNA biosynthesis
YJL034W	3060	Protein export
YJL034W	4141	Protein processing in endoplasmic reticulum
YJL030W	4111	Cell cycle - yeast
YJL030W	4113	Meiosis - yeast
tM(CAU)J1	970	Aminoacyl-tRNA biosynthesis
YJL026W	230	Purine metabolism
YJL026W	240	Pyrimidine metabolism
YJL026W	480	Glutathione metabolism
YJL026W	1100	Metabolic pathways
tG(GCC)J1	970	Aminoacyl-tRNA biosynthesis
YJL013C	4111	Cell cycle - yeast
tK(CUU)J	970	Aminoacyl-tRNA biosynthesis
tW(CCA)J	970	Aminoacyl-tRNA biosynthesis
tM(CAU)J2	970	Aminoacyl-tRNA biosynthesis
tL(UAA)J	970	Aminoacyl-tRNA biosynthesis
YJL005W	230	Purine metabolism
YJL005W	4113	Meiosis - yeast
YJL002C	510	N-Glycan biosynthesis
YJL002C	513	Various types of N-glycan biosynthesis
YJL002C	1100	Metabolic pathways
YJL002C	4141	Protein processing in endoplasmic reticulum
YJL001W	3050	Proteasome
YJR002W	3008	Ribosome biogenesis in eukaryotes
YJR006W	230	Purine metabolism
YJR006W	240	Pyrimidine metabolism
YJR006W	1100	Metabolic pathways
YJR006W	3030	DNA replication
YJR006W	3410	Base excision repair
YJR006W	3420	Nucleotide excision repair
YJR006W	3430	Mismatch repair
YJR006W	3440	Homologous recombination
YJR007W	3013	RNA transport
YJR007W	4141	Protein processing in endoplasmic reticulum
YJR009C	10	Glycolysis / Gluconeogenesis
YJR009C	1100	Metabolic pathways
YJR009C	1110	Biosynthesis of secondary metabolites
YJR010W	230	Purine metabolism
YJR010W	450	Selenocompound metabolism
YJR010W	920	Sulfur metabolism
YJR010W	1100	Metabolic pathways
YJR010C-A	310	Lysine degradation
YJR010C-A	780	Biotin metabolism
YJR010C-A	1100	Metabolic pathways
YJR013W	563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
YJR013W	1100	Metabolic pathways
YJR016C	290	Valine, leucine and isoleucine biosynthesis
YJR016C	770	Pantothenate and CoA biosynthesis
YJR016C	1100	Metabolic pathways
YJR016C	1110	Biosynthesis of secondary metabolites
YJR019C	1040	Biosynthesis of unsaturated fatty acids
YJR022W	3018	RNA degradation
YJR022W	3040	Spliceosome
YJR024C	270	Cysteine and methionine metabolism
YJR024C	1100	Metabolic pathways
YJR025C	380	Tryptophan metabolism
YJR025C	1100	Metabolic pathways
YJR035W	3420	Nucleotide excision repair
YJR043C	230	Purine metabolism
YJR043C	240	Pyrimidine metabolism
YJR043C	1100	Metabolic pathways
YJR043C	3030	DNA replication
YJR043C	3410	Base excision repair
YJR043C	3420	Nucleotide excision repair
YJR043C	3430	Mismatch repair
YJR043C	3440	Homologous recombination
tM(CAU)J3	970	Aminoacyl-tRNA biosynthesis
YJR045C	3018	RNA degradation
YJR046W	4111	Cell cycle - yeast
YJR046W	4113	Meiosis - yeast
tS(AGA)J	970	Aminoacyl-tRNA biosynthesis
YJR050W	3040	Spliceosome
tG(GCC)J2	970	Aminoacyl-tRNA biosynthesis
YJR053W	4111	Cell cycle - yeast
tR(CCU)J	970	Aminoacyl-tRNA biosynthesis
tD(GUC)J4	970	Aminoacyl-tRNA biosynthesis
tY(GUA)J2	970	Aminoacyl-tRNA biosynthesis
YJR057W	240	Pyrimidine metabolism
YJR057W	1100	Metabolic pathways
YJR058C	4144	Endocytosis
YJR063W	230	Purine metabolism
YJR063W	240	Pyrimidine metabolism
YJR063W	1100	Metabolic pathways
YJR063W	3020	RNA polymerase
YJR068W	3030	DNA replication
YJR068W	3420	Nucleotide excision repair
YJR068W	3430	Mismatch repair
YJR075W	513	Various types of N-glycan biosynthesis
YJR075W	1100	Metabolic pathways
YJR078W	380	Tryptophan metabolism
YJR078W	1100	Metabolic pathways
YJR086W	4011	MAPK signaling pathway - yeast
YJR090C	4111	Cell cycle - yeast
YJR090C	4120	Ubiquitin mediated proteolysis
YJR093C	3015	mRNA surveillance pathway
YJR094C	4113	Meiosis - yeast
YJR094W-A	3010	Ribosome
tL(UAG)J	970	Aminoacyl-tRNA biosynthesis
YJR101W	4146	Peroxisome
YJR102C	4144	Endocytosis
YJR103W	240	Pyrimidine metabolism
YJR103W	1100	Metabolic pathways
YJR104C	4146	Peroxisome
YJR105W	230	Purine metabolism
YJR105W	1100	Metabolic pathways
YJR109C	240	Pyrimidine metabolism
YJR109C	250	Alanine, aspartate and glutamate metabolism
YJR109C	1100	Metabolic pathways
YJR113C	3010	Ribosome
YJR121W	190	Oxidative phosphorylation
YJR121W	1100	Metabolic pathways
YJR123W	3010	Ribosome
YJR130C	270	Cysteine and methionine metabolism
YJR130C	450	Selenocompound metabolism
YJR130C	920	Sulfur metabolism
YJR130C	1100	Metabolic pathways
YJR130C	1110	Biosynthesis of secondary metabolites
YJR131W	510	N-Glycan biosynthesis
YJR131W	513	Various types of N-glycan biosynthesis
YJR131W	1100	Metabolic pathways
YJR131W	4141	Protein processing in endoplasmic reticulum
YJR137C	920	Sulfur metabolism
YJR137C	1100	Metabolic pathways
YJR139C	260	Glycine, serine and threonine metabolism
YJR139C	270	Cysteine and methionine metabolism
YJR139C	300	Lysine biosynthesis
YJR139C	1100	Metabolic pathways
YJR139C	1110	Biosynthesis of secondary metabolites
YJR143C	514	Other types of O-glycan biosynthesis
YJR145C	3010	Ribosome
YJR148W	280	Valine, leucine and isoleucine degradation
YJR148W	290	Valine, leucine and isoleucine biosynthesis
YJR148W	770	Pantothenate and CoA biosynthesis
YJR148W	1100	Metabolic pathways
YJR148W	1110	Biosynthesis of secondary metabolites
YJR153W	40	Pentose and glucuronate interconversions
YJR153W	500	Starch and sucrose metabolism
YJR153W	1100	Metabolic pathways
YJR155W	51	Fructose and mannose metabolism
YJR155W	650	Butanoate metabolism
YJR155W	1100	Metabolic pathways
YJR158W	4113	Meiosis - yeast
YJR159W	51	Fructose and mannose metabolism
YJR159W	1100	Metabolic pathways
YKL216W	240	Pyrimidine metabolism
YKL216W	1100	Metabolic pathways
YKL215C	480	Glutathione metabolism
YKL213C	4141	Protein processing in endoplasmic reticulum
YKL211C	400	Phenylalanine, tyrosine and tryptophan biosynthesis
YKL211C	1100	Metabolic pathways
YKL211C	1110	Biosynthesis of secondary metabolites
YKL210W	4120	Ubiquitin mediated proteolysis
tT(CGU)K	970	Aminoacyl-tRNA biosynthesis
YKL205W	3013	RNA transport
YKL203C	4113	Meiosis - yeast
YKL197C	4146	Peroxisome
tN(GUU)K	970	Aminoacyl-tRNA biosynthesis
YKL196C	4130	SNARE interactions in vesicular transport
YKL194C	970	Aminoacyl-tRNA biosynthesis
YKL192C	190	Oxidative phosphorylation
YKL192C	1100	Metabolic pathways
tL(UAA)K	970	Aminoacyl-tRNA biosynthesis
YKL186C	3008	Ribosome biogenesis in eukaryotes
YKL186C	3013	RNA transport
YKL186C	3015	mRNA surveillance pathway
YKL184W	330	Arginine and proline metabolism
YKL184W	480	Glutathione metabolism
YKL184W	1100	Metabolic pathways
YKL184W	1110	Biosynthesis of secondary metabolites
YKL182W	61	Fatty acid biosynthesis
YKL182W	1100	Metabolic pathways
YKL181W	30	Pentose phosphate pathway
YKL181W	230	Purine metabolism
YKL181W	1100	Metabolic pathways
YKL181W	1110	Biosynthesis of secondary metabolites
YKL180W	3010	Ribosome
YKL178C	4011	MAPK signaling pathway - yeast
YKL173W	3040	Spliceosome
YKL166C	4113	Meiosis - yeast
YKL165C	563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
YKL165C	1100	Metabolic pathways
tE(UUC)K	970	Aminoacyl-tRNA biosynthesis
YKL156W	3010	Ribosome
YKL154W	3060	Protein export
tR(UCU)K	970	Aminoacyl-tRNA biosynthesis
YKL152C	10	Glycolysis / Gluconeogenesis
YKL152C	680	Methane metabolism
YKL152C	1100	Metabolic pathways
YKL152C	1110	Biosynthesis of secondary metabolites
YKL150W	520	Amino sugar and nucleotide sugar metabolism
YKL148C	20	Citrate cycle (TCA cycle)
YKL148C	190	Oxidative phosphorylation
YKL148C	1100	Metabolic pathways
YKL148C	1110	Biosynthesis of secondary metabolites
YKL145W	3050	Proteasome
YKL144C	230	Purine metabolism
YKL144C	240	Pyrimidine metabolism
YKL144C	1100	Metabolic pathways
YKL144C	3020	RNA polymerase
YKL141W	20	Citrate cycle (TCA cycle)
YKL141W	190	Oxidative phosphorylation
YKL141W	1100	Metabolic pathways
YKL141W	1110	Biosynthesis of secondary metabolites
YKL132C	790	Folate biosynthesis
YKL132C	1100	Metabolic pathways
tK(CUU)K	970	Aminoacyl-tRNA biosynthesis
YKL127W	10	Glycolysis / Gluconeogenesis
YKL127W	30	Pentose phosphate pathway
YKL127W	52	Galactose metabolism
YKL127W	230	Purine metabolism
YKL127W	500	Starch and sucrose metabolism
YKL127W	520	Amino sugar and nucleotide sugar metabolism
YKL127W	1100	Metabolic pathways
YKL127W	1110	Biosynthesis of secondary metabolites
tA(AGC)K1	970	Aminoacyl-tRNA biosynthesis
YKL114C	3410	Base excision repair
YKL113C	3030	DNA replication
YKL113C	3410	Base excision repair
YKL113C	3450	Non-homologous end-joining
YKL106W	250	Alanine, aspartate and glutamate metabolism
YKL106W	270	Cysteine and methionine metabolism
YKL106W	330	Arginine and proline metabolism
YKL106W	350	Tyrosine metabolism
YKL106W	360	Phenylalanine metabolism
YKL106W	400	Phenylalanine, tyrosine and tryptophan biosynthesis
YKL106W	1100	Metabolic pathways
YKL106W	1110	Biosynthesis of secondary metabolites
YKL104C	250	Alanine, aspartate and glutamate metabolism
YKL104C	520	Amino sugar and nucleotide sugar metabolism
YKL104C	1100	Metabolic pathways
YKL101W	4111	Cell cycle - yeast
YKL088W	770	Pantothenate and CoA biosynthesis
YKL088W	1100	Metabolic pathways
YKL087C	860	Porphyrin and chlorophyll metabolism
YKL085W	20	Citrate cycle (TCA cycle)
YKL085W	620	Pyruvate metabolism
YKL085W	630	Glyoxylate and dicarboxylate metabolism
YKL085W	1100	Metabolic pathways
YKL085W	1110	Biosynthesis of secondary metabolites
YKL080W	190	Oxidative phosphorylation
YKL080W	1100	Metabolic pathways
YKL080W	4145	Phagosome
YKL073W	4141	Protein processing in endoplasmic reticulum
tW(CCA)K	970	Aminoacyl-tRNA biosynthesis
tV(AAC)K1	970	Aminoacyl-tRNA biosynthesis
tH(GUG)K	970	Aminoacyl-tRNA biosynthesis
YKL067W	230	Purine metabolism
YKL067W	240	Pyrimidine metabolism
YKL067W	1100	Metabolic pathways
YKL067W	1110	Biosynthesis of secondary metabolites
YKL062W	4011	MAPK signaling pathway - yeast
YKL062W	4113	Meiosis - yeast
YKL060C	10	Glycolysis / Gluconeogenesis
YKL060C	30	Pentose phosphate pathway
YKL060C	51	Fructose and mannose metabolism
YKL060C	680	Methane metabolism
YKL060C	1100	Metabolic pathways
YKL060C	1110	Biosynthesis of secondary metabolites
YKL058W	3022	Basal transcription factors
YKL045W	230	Purine metabolism
YKL045W	240	Pyrimidine metabolism
YKL045W	1100	Metabolic pathways
YKL045W	3030	DNA replication
YKL041W	4144	Endocytosis
YKL035W	40	Pentose and glucuronate interconversions
YKL035W	52	Galactose metabolism
YKL035W	500	Starch and sucrose metabolism
YKL035W	520	Amino sugar and nucleotide sugar metabolism
YKL035W	1100	Metabolic pathways
YKL035W	1110	Biosynthesis of secondary metabolites
tV(AAC)K2	970	Aminoacyl-tRNA biosynthesis
YKL029C	620	Pyruvate metabolism
YKL028W	3022	Basal transcription factors
YKL026C	480	Glutathione metabolism
YKL026C	590	Arachidonic acid metabolism
YKL025C	3018	RNA degradation
YKL024C	240	Pyrimidine metabolism
YKL024C	1100	Metabolic pathways
YKL022C	4111	Cell cycle - yeast
YKL022C	4113	Meiosis - yeast
YKL022C	4120	Ubiquitin mediated proteolysis
YKL016C	190	Oxidative phosphorylation
YKL016C	1100	Metabolic pathways
YKL012W	3040	Spliceosome
YKL010C	4120	Ubiquitin mediated proteolysis
YKL008C	600	Sphingolipid metabolism
YKL008C	1100	Metabolic pathways
YKL006C-A	4130	SNARE interactions in vesicular transport
YKL006W	3010	Ribosome
YKL002W	4144	Endocytosis
YKL001C	230	Purine metabolism
YKL001C	920	Sulfur metabolism
YKL001C	1100	Metabolic pathways
YKR002W	3015	mRNA surveillance pathway
YKR009C	51	Fructose and mannose metabolism
YKR009C	650	Butanoate metabolism
YKR009C	903	Limonene and pinene degradation
YKR009C	1100	Metabolic pathways
YKR009C	1110	Biosynthesis of secondary metabolites
tL(CAA)K	970	Aminoacyl-tRNA biosynthesis
YKR026C	3013	RNA transport
tR(ACG)K	970	Aminoacyl-tRNA biosynthesis
YKR031C	564	Glycerophospholipid metabolism
YKR031C	565	Ether lipid metabolism
YKR031C	1100	Metabolic pathways
YKR031C	4144	Endocytosis
YKR035W-A	4144	Endocytosis
tD(GUC)K	970	Aminoacyl-tRNA biosynthesis
tA(AGC)K2	970	Aminoacyl-tRNA biosynthesis
YKR043C	10	Glycolysis / Gluconeogenesis
YKR043C	680	Methane metabolism
YKR043C	1100	Metabolic pathways
YKR043C	1110	Biosynthesis of secondary metabolites
YKR053C	600	Sphingolipid metabolism
YKR054C	4145	Phagosome
YKR057W	3010	Ribosome
YKR059W	3013	RNA transport
YKR062W	3022	Basal transcription factors
YKR067W	561	Glycerolipid metabolism
YKR067W	564	Glycerophospholipid metabolism
YKR067W	1100	Metabolic pathways
YKR069W	860	Porphyrin and chlorophyll metabolism
YKR069W	1100	Metabolic pathways
YKR069W	1110	Biosynthesis of secondary metabolites
tK(UUU)K	970	Aminoacyl-tRNA biosynthesis
YKR079C	3013	RNA transport
YKR080W	670	One carbon pool by folate
YKR080W	1100	Metabolic pathways
YKR082W	3013	RNA transport
YKR084C	3015	mRNA surveillance pathway
YKR086W	3040	Spliceosome
YKR094C	3010	Ribosome
YKR095W	3013	RNA transport
YKR095W	4011	MAPK signaling pathway - yeast
YKR097W	10	Glycolysis / Gluconeogenesis
YKR097W	20	Citrate cycle (TCA cycle)
YKR097W	620	Pyruvate metabolism
YKR097W	1100	Metabolic pathways
YKR097W	1110	Biosynthesis of secondary metabolites
YLL058W	270	Cysteine and methionine metabolism
YLL058W	450	Selenocompound metabolism
YLL058W	920	Sulfur metabolism
YLL058W	1100	Metabolic pathways
YLL058W	1110	Biosynthesis of secondary metabolites
YLL045C	3010	Ribosome
YLL042C	4140	Regulation of autophagy
YLL041C	20	Citrate cycle (TCA cycle)
YLL041C	190	Oxidative phosphorylation
YLL041C	1100	Metabolic pathways
YLL041C	1110	Biosynthesis of secondary metabolites
YLL036C	3040	Spliceosome
YLL036C	4120	Ubiquitin mediated proteolysis
YLL034C	3008	Ribosome biogenesis in eukaryotes
YLL031C	563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
YLL031C	1100	Metabolic pathways
tP(UGG)L	970	Aminoacyl-tRNA biosynthesis
YLL024C	3040	Spliceosome
YLL024C	4141	Protein processing in endoplasmic reticulum
YLL024C	4144	Endocytosis
YLL018C	970	Aminoacyl-tRNA biosynthesis
YLL009C	190	Oxidative phosphorylation
YLL009C	1100	Metabolic pathways
YLL004W	4111	Cell cycle - yeast
YLL004W	4113	Meiosis - yeast
YLL001W	4144	Endocytosis
YLR005W	3022	Basal transcription factors
YLR005W	3420	Nucleotide excision repair
YLR006C	4011	MAPK signaling pathway - yeast
YLR009W	3010	Ribosome
tS(AGA)L	970	Aminoacyl-tRNA biosynthesis
YLR017W	270	Cysteine and methionine metabolism
YLR017W	1100	Metabolic pathways
YLR022C	3008	Ribosome biogenesis in eukaryotes
YLR025W	4144	Endocytosis
YLR026C	4130	SNARE interactions in vesicular transport
YLR027C	250	Alanine, aspartate and glutamate metabolism
YLR027C	270	Cysteine and methionine metabolism
YLR027C	330	Arginine and proline metabolism
YLR027C	350	Tyrosine metabolism
YLR027C	360	Phenylalanine metabolism
YLR027C	400	Phenylalanine, tyrosine and tryptophan biosynthesis
YLR027C	1100	Metabolic pathways
YLR027C	1110	Biosynthesis of secondary metabolites
YLR028C	230	Purine metabolism
YLR028C	670	One carbon pool by folate
YLR028C	1100	Metabolic pathways
YLR028C	1110	Biosynthesis of secondary metabolites
YLR029C	3010	Ribosome
tA(UGC)L	970	Aminoacyl-tRNA biosynthesis
YLR038C	190	Oxidative phosphorylation
YLR038C	1100	Metabolic pathways
YLR044C	10	Glycolysis / Gluconeogenesis
YLR044C	1100	Metabolic pathways
YLR044C	1110	Biosynthesis of secondary metabolites
YLR048W	3010	Ribosome
YLR056W	100	Steroid biosynthesis
YLR056W	1100	Metabolic pathways
YLR057W	510	N-Glycan biosynthesis
YLR057W	513	Various types of N-glycan biosynthesis
YLR057W	1100	Metabolic pathways
YLR057W	4141	Protein processing in endoplasmic reticulum
YLR058C	260	Glycine, serine and threonine metabolism
YLR058C	460	Cyanoamino acid metabolism
YLR058C	670	One carbon pool by folate
YLR058C	680	Methane metabolism
YLR058C	1100	Metabolic pathways
YLR058C	1110	Biosynthesis of secondary metabolites
YLR059C	3008	Ribosome biogenesis in eukaryotes
YLR060W	970	Aminoacyl-tRNA biosynthesis
YLR061W	3010	Ribosome
YLR066W	3060	Protein export
YLR070C	40	Pentose and glucuronate interconversions
YLR070C	1100	Metabolic pathways
YLR075W	3010	Ribosome
YLR078C	4130	SNARE interactions in vesicular transport
YLR079W	4111	Cell cycle - yeast
YLR079W	4113	Meiosis - yeast
YLR081W	4113	Meiosis - yeast
YLR086W	4111	Cell cycle - yeast
YLR088W	563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
YLR088W	1100	Metabolic pathways
YLR089C	250	Alanine, aspartate and glutamate metabolism
YLR089C	1100	Metabolic pathways
YLR100W	100	Steroid biosynthesis
YLR100W	1100	Metabolic pathways
YLR102C	4111	Cell cycle - yeast
YLR102C	4113	Meiosis - yeast
YLR102C	4120	Ubiquitin mediated proteolysis
YLR103C	4111	Cell cycle - yeast
YLR103C	4113	Meiosis - yeast
YLR106C	3008	Ribosome biogenesis in eukaryotes
YLR109W	4122	Sulfur relay system
YLR113W	4011	MAPK signaling pathway - yeast
tR(ACG)L	970	Aminoacyl-tRNA biosynthesis
YLR117C	3040	Spliceosome
YLR127C	4111	Cell cycle - yeast
YLR127C	4113	Meiosis - yeast
YLR127C	4120	Ubiquitin mediated proteolysis
YLR129W	3008	Ribosome biogenesis in eukaryotes
YLR133W	564	Glycerophospholipid metabolism
YLR133W	1100	Metabolic pathways
YLR134W	380	Tryptophan metabolism
YLR134W	1100	Metabolic pathways
YLR142W	330	Arginine and proline metabolism
YLR142W	1100	Metabolic pathways
YLR142W	1110	Biosynthesis of secondary metabolites
tD(GUC)L1	970	Aminoacyl-tRNA biosynthesis
YLR145W	3008	Ribosome biogenesis in eukaryotes
YLR146C	270	Cysteine and methionine metabolism
YLR146C	330	Arginine and proline metabolism
YLR146C	410	beta-Alanine metabolism
YLR146C	480	Glutathione metabolism
YLR146C	1100	Metabolic pathways
YLR147C	3040	Spliceosome
YLR153C	10	Glycolysis / Gluconeogenesis
YLR153C	620	Pyruvate metabolism
YLR153C	640	Propanoate metabolism
YLR153C	680	Methane metabolism
YLR153C	1100	Metabolic pathways
YLR153C	1110	Biosynthesis of secondary metabolites
tQ(UUG)L	970	Aminoacyl-tRNA biosynthesis
YLR155C	250	Alanine, aspartate and glutamate metabolism
YLR155C	460	Cyanoamino acid metabolism
YLR155C	910	Nitrogen metabolism
YLR155C	1100	Metabolic pathways
YLR155C	1110	Biosynthesis of secondary metabolites
YLR157C	250	Alanine, aspartate and glutamate metabolism
YLR157C	460	Cyanoamino acid metabolism
YLR157C	910	Nitrogen metabolism
YLR157C	1100	Metabolic pathways
YLR157C	1110	Biosynthesis of secondary metabolites
YLR158C	250	Alanine, aspartate and glutamate metabolism
YLR158C	460	Cyanoamino acid metabolism
YLR158C	910	Nitrogen metabolism
YLR158C	1100	Metabolic pathways
YLR158C	1110	Biosynthesis of secondary metabolites
YLR160C	250	Alanine, aspartate and glutamate metabolism
YLR160C	460	Cyanoamino acid metabolism
YLR160C	910	Nitrogen metabolism
YLR160C	1100	Metabolic pathways
YLR160C	1110	Biosynthesis of secondary metabolites
YLR164W	20	Citrate cycle (TCA cycle)
YLR164W	190	Oxidative phosphorylation
YLR164W	1100	Metabolic pathways
YLR164W	1110	Biosynthesis of secondary metabolites
YLR167W	3010	Ribosome
YLR174W	20	Citrate cycle (TCA cycle)
YLR174W	480	Glutathione metabolism
YLR174W	1100	Metabolic pathways
YLR174W	1110	Biosynthesis of secondary metabolites
YLR174W	4146	Peroxisome
YLR175W	3008	Ribosome biogenesis in eukaryotes
YLR176C	4111	Cell cycle - yeast
YLR180W	270	Cysteine and methionine metabolism
YLR180W	1100	Metabolic pathways
YLR180W	1110	Biosynthesis of secondary metabolites
YLR181C	4144	Endocytosis
